MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,27.0,5.7,32.3,34.6,20.8,19.0,39.2,26.4,30.5,43.0,97.0
2,10.1,18.7,31.1,75.3,5.7,21.6,16.8,7.9,14.5,18.5,69.2
3,13.5,21.9,50.1,9.4,19.1,8.3,8.8,4.8,6.3,24.3,50.5
4,65.5,7.2,14.2,66.3,4.7,6.8,13.6,3.6,2.2,66.8,5.5
5,16.2,8.0,46.6,1.1,10.9,29.3,37.5,62.6,41.8,0.0,36.7
6,44.9,24.0,32.0,18.7,84.8,33.9,209.5,91.8,40.1,75.2,51.779999999999994
7,115.3,26.0,110.7,107.6,12.9,23.3,79.7,89.3,35.8,77.1,51.779999999999994
8,92.8,117.1,26.4,177.2,96.8,125.0,102.5,70.5,157.5,20.0,51.779999999999994
9,77.8,57.9,142.2,102.8,42.7,362.4,97.4,130.9,66.0,55.8,51.779999999999994
10,186.4,187.8,145.8,182.3,185.7,240.1,549.5,137.2,106.8,226.5,51.779999999999994
11,94.5,30.2,88.3,160.3,151.6,110.4,46.4,172.2,112.6,20.2,51.779999999999994
12,23.7,82.1,65.42727272727272,144.5,16.2,64.2,34.5,124.6,100.4,66.9,51.779999999999994
