MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,127.57,30.76,44.65,173.63,80.08,105.1,135.73,107.94,91.85,83.42,240.97
2,38.66,42.32,81.62,150.61,8.15,91.11,66.82,30.46,43.74,22.48,155.01
3,27.68,33.36,148.93,21.43,33.26,11.51,37.8,17.07,12.62,33.03,50.53
4,100.04,15.05,16.64,166.82,4.76,7.04,15.31,6.93,5.72,97.81,12.6
5,33.22,13.71,82.03,1.33,15.63,51.21,65.32,132.61,46.01,0.0,72.92
6,110.36,67.36,92.66,60.75,270.81,200.71,538.61,318.01,80.53,199.72,106.40599999999999
7,321.35,130.72,234.47,214.93,34.33,70.44,249.41,171.73,85.02,231.73,106.40599999999999
8,221.43,309.11,60.95,276.65,117.05,333.13,257.13,109.13,376.01,111.52,106.40599999999999
9,245.54,267.85,375.7027272727273,199.4,183.21,724.83,425.73,638.21,116.42,186.85,106.40599999999999
10,796.81,732.31,686.33,985.81,616.21,353.74,920.5,484.33,204.92,1060.55,106.40599999999999
11,424.36,93.45,303.26,233.94,416.02,462.04,229.84,304.36,281.63,41.92,106.40599999999999
12,75.12,267.91,2381.19,334.54,19.35,187.57,106.26,312.64,307.83,93.85,106.40599999999999
