MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,29.0,31.5,35.0,32.0,28.5,34.5,35.0,34.5,34.5,35.0,33.5
2,31.0,35.5,35.0,32.5,35.5,35.0,34.5,35.0,35.0,34.5,36.5
3,36.5,37.5,36.5,35.5,35.5,38.5,38.0,35.0,37.5,38.0,38.0
4,41.0,40.0,39.5,37.0,40.0,41.5,38.5,37.5,40.5,40.5,40.5
5,35.0,38.0,38.0,35.5,42.0,39.5,39.5,40.0,39.5,43.0,43.5
6,35.0,37.5,37.0,36.5,38.5,38.0,37.0,35.5,40.0,42.0,38.4
7,35.5,35.0,34.0,34.5,36.5,37.0,35.5,35.0,35.5,35.5,38.4
8,36.0,34.0,36.0,33.0,37.5,37.0,37.5,35.0,36.5,35.0,38.4
9,36.0,33.5,33.5,35.0,35.5,37.0,35.5,33.5,35.5,37.0,38.4
10,35.0,33.5,35.0,35.5,35.0,34.5,35.5,36.5,37.5,33.5,38.4
11,32.0,35.0,38.0,33.5,32.5,32.5,31.0,32.5,34.5,35.5,38.4
12,34.5,34.5,36.13636363636363,35.5,32.5,33.0,34.0,33.0,33.5,32.5,38.4
