MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,23.3,25.3,28.1,22.4,26.0,26.8,25.6,25.2,27.8,27.0,26.1
2,24.9,25.8,29.6,28.1,28.8,27.2,27.6,25.1,27.2,29.0,28.3
3,26.8,30.4,29.8,30.0,28.6,32.1,30.6,28.4,32.0,31.8,31.9
4,33.1,32.8,33.2,31.0,32.7,35.1,33.1,33.1,33.0,34.3,34.4
5,32.9,34.5,34.2,32.8,37.0,34.9,34.6,34.8,34.4,38.7,37.5
6,32.4,33.5,32.3,33.1,33.8,32.3,32.9,31.0,35.4,35.3,31.639999999999997
7,33.1,32.2,31.1,31.7,33.7,34.0,32.5,32.3,33.6,32.6,31.639999999999997
8,33.5,31.9,32.8,31.4,35.1,32.7,32.3,32.9,32.5,32.7,31.639999999999997
9,31.7,31.2,30.6,31.8,32.7,31.6,32.0,30.1,33.4,33.4,31.639999999999997
10,30.2,29.1,28.5,29.2,30.1,30.9,30.2,29.7,31.5,29.8,31.639999999999997
11,27.7,28.6,28.8,27.4,27.2,28.6,27.6,28.0,27.2,32.0,31.639999999999997
12,27.6,27.6,30.818181818181824,27.1,27.3,25.5,28.2,26.4,25.9,29.0,31.639999999999997
