MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,11.5,10.5,13.5,13.5,12.0,14.5,16.0,14.0,12.0,13.0,12.0
2,12.0,12.0,14.0,14.5,15.0,15.0,13.5,12.0,15.0,13.0,12.0
3,13.5,16.0,15.0,19.0,16.0,14.0,15.0,13.0,15.0,16.0,13.5
4,18.0,17.5,19.0,15.5,12.5,20.0,15.0,16.5,18.0,18.0,13.0
5,18.0,17.5,17.0,21.0,23.0,21.0,22.5,20.5,17.5,24.5,16.5
6,21.5,20.5,22.0,22.5,20.0,21.5,21.5,19.0,22.0,23.0,13.4
7,20.5,20.0,21.5,21.0,20.0,22.5,21.5,21.5,22.0,21.5,13.4
8,21.0,22.0,22.0,21.0,21.0,21.5,22.0,20.5,20.5,22.5,13.4
9,21.0,22.0,19.0,22.0,21.5,20.0,21.0,21.5,22.0,22.0,13.4
10,20.0,19.5,17.0,20.0,20.0,19.5,18.0,19.0,18.0,19.5,13.4
11,17.0,17.0,16.0,14.0,16.5,18.0,15.5,18.5,17.0,15.0,13.4
12,17.5,17.681818181818183,17.8,12.5,14.0,13.0,15.0,14.0,13.0,14.5,13.4
