MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,15.7,16.1,17.6,15.7,17.1,18.2,17.7,17.1,18.1,18.3,16.6
2,16.0,16.1,18.6,18.3,18.9,18.5,17.5,16.3,17.8,16.4,17.7
3,17.9,19.9,18.9,20.7,18.9,19.9,19.7,18.5,20.8,21.4,18.5
4,22.5,22.2,21.9,20.8,19.7,24.0,22.0,22.1,22.4,22.4,19.3
5,22.4,23.3,23.4,22.8,24.7,23.7,24.0,23.8,23.3,26.9,22.9
6,22.9,23.1,23.4,24.0,24.0,23.5,23.3,22.4,24.8,24.9,19.0
7,22.9,23.2,22.8,22.9,23.0,23.7,23.0,23.0,23.7,23.3,19.0
8,23.2,22.9,23.4,22.8,23.3,23.5,23.2,23.0,23.5,23.6,19.0
9,23.1,22.9,22.8,23.1,23.0,22.8,23.2,22.6,23.2,23.2,19.0
10,21.6,21.8,21.7,22.1,22.6,21.7,21.9,21.2,22.4,21.3,19.0
11,21.0,20.2,19.2,20.0,19.6,20.5,18.5,20.3,19.9,19.8,19.0
12,19.4,19.5,21.245454545454546,17.8,18.0,16.5,19.1,18.0,17.9,17.1,19.0
