MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,64.36,85.35,84.07,43.63,58.93,71.44,63.38,77.36,75.67,67.18
2,77.99,75.91,116.65,83.37,122.97,82.02,98.97,77.61,92.89,117.46
3,63.58,139.36,103.98,121.51,110.69,119.96,125.71,126.68,129.99,135.89
4,76.84,138.59,113.74,120.26,161.39,132.77,152.73,126.97,129.76,148.37
5,92.17,135.91,125.03,138.92,156.48,134.2,126.83,167.94,136.1,96.82285714285715
6,78.52,98.51,109.6,105.55,98.2,107.92,92.18,89.26,150.01,96.82285714285715
7,81.8,114.81,47.72,113.51,109.62,107.78,98.12,96.27,90.71,79.39
8,26.38,86.19,88.25,86.23,120.94,91.54,88.29,97.36,103.02,96.82285714285715
9,63.13,59.76,70.98,81.84,93.96,75.61,80.26,68.24,109.2,66.34
10,74.26,44.48,107.8,63.08,69.6,94.99,104.58,70.72,60.88,63.13
11,28.89,41.98,78.24,76.85,65.24,75.28,66.83,82.38,41.57,96.82285714285715
12,64.26,63.84,93.4,72.97,78.06,68.55,92.33,68.39,40.25,96.82285714285715
