MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,138.63,34.12,42.4,219.13,43.24,103.41,148.03,160.28,51.0,52.13
2,30.04,25.74,31.32,33.91,77.92,80.43,24.24,58.03,46.11,27.92
3,126.85,97.03,82.82,117.42,50.1,33.23,79.23,25.25,101.71,46.4
4,65.6,81.34,77.91,101.34,3.91,74.7,55.22,17.9,117.41,43.23
5,155.42,63.83,135.72,51.31,32.8,76.62,305.34,48.02,42.24,163.95749999999998
6,194.33,190.02,231.01,185.61,241.9,332.11,342.11,400.32,90.21,163.95749999999998
7,48.24,181.01,99.91,57.02,189.71,80.21,110.81,92.72,165.04,214.64
8,187.81,222.81,399.5,253.64,202.91,213.33,294.86,152.62,252.54,187.8
9,165.93,363.91,735.82,132.34,299.91,376.62,346.12,485.22,42.91,324.7
10,428.72,325.64,495.14,516.8,473.89,80.64,326.13,231.02,379.44,414.84
11,252.43,215.52,96.73,116.75,97.93,234.32,215.49,66.9,120.31,163.95749999999998
12,68.12,77.26,38.02,58.43,64.83,45.73,27.12,50.62,163.0,163.95749999999998
