MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,20.1,12.12,3.71,4.82,26.41,71.2,80.93,66.13,4.0,110.75,31.23
2,2.81,1.64,3.4,19.92,6.4,2.21,29.82,11.62,2.42,27.5,41.62
3,47.01,10.4,14.0,77.31,16.21,1.2,1.13,1.71,42.42,4.41,0.0
4,17.2,9.81,46.81,37.1,10.81,55.4,8.22,1.8,20.53,0.02,29.1
5,17.32,0.0,175.4,3.4,10.91,71.12,90.31,122.11,56.13,7.5,53.8
6,222.42,261.03,127.12,184.12,94.41,205.21,444.1,364.52,107.43,495.3,31.15
7,163.6,158.41,374.8,61.7,91.61,112.51,302.11,147.01,251.21,361.02,31.15
8,126.2,190.52,154.71,111.03,12.2,196.53,306.81,57.93,316.43,150.92,31.15
9,65.1,57.6,74.91,222.03,116.51,159.81,85.4,302.32,26.83,107.93,31.15
10,20.62,50.5,128.21,130.41,209.51,48.31,51.74,46.54,92.8,387.72,31.15
11,62.83,46.71,39.0,21.61,12.13,44.23,43.62,35.31,35.61,34.33,31.15
12,0.02,39.9,3.5,16.51,0.0,1.82,3.01,6.24,43.81,145.4,31.15
