MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,10.0,12.5,10.0,11.5,15.0,16.5,15.5,15.0,12.0,14.0,10.5
2,10.0,10.5,11.0,10.5,18.0,18.5,14.5,11.0,14.5,13.5,15.0
3,11.5,13.5,15.0,17.0,18.5,20.5,18.0,14.5,18.5,19.5,16.0
4,16.0,15.0,15.5,16.0,19.0,22.5,20.5,17.0,20.5,21.0,17.0
5,13.5,17.5,17.0,19.0,22.0,22.5,22.0,20.5,21.5,22.5,21.5
6,17.0,18.0,20.0,20.0,22.0,22.0,21.5,20.0,21.0,21.0,16.0
7,18.0,18.0,19.0,21.5,21.5,22.0,21.5,21.0,22.0,21.5,16.0
8,18.0,17.5,19.0,21.0,22.0,20.0,21.0,21.5,21.5,22.0,16.0
9,17.5,18.0,19.0,21.0,21.5,22.0,21.5,20.0,22.5,21.0,16.0
10,16.0,16.0,16.0,21.5,21.0,22.0,21.0,20.0,22.0,19.5,16.0
11,15.5,14.5,12.0,13.5,21.0,21.0,19.0,19.0,18.0,17.5,16.0
12,14.0,6.0,11.0,16.0,18.0,17.5,18.5,16.5,16.0,16.5,16.0
