MES,2016,2017,2018,2019,2020,2021,2022
1,0.0,0.0,0.0,0.0,23.32,2.0,0.0
2,0.0,0.0,5.0,5.0,23.32,2.0,0.0
3,0.0,0.0,0.0,0.0,23.32,2.0,0.0
4,0.0,1.0,50.0,5.0,23.32,2.0,2.7142857142857144
5,5.0,20.0,100.0,0.0,23.32,0.0,2.7142857142857144
6,0.0,0.0,0.0,14.0,23.32,0.0,2.7142857142857144
7,1.0,12.0,0.0,0.0,23.32,0.0,1.0
8,0.0,5.0,0.0,0.0,23.32,2.0,0.0
9,1.0,65.0,6.0,0.0,23.32,6.0,0.0
10,7.0,16.0,18.0,0.0,23.32,8.0,18.0
11,2.5,0.0,0.0,0.0,23.32,0.0,2.7142857142857144
12,14.0,0.0,0.0,0.0,23.32,0.0,2.7142857142857144
