MES,2016,2017,2018,2019,2020,2021,2022
1,19.1,19.1,17.2,15.8,20.0,20.6,21.5
2,19.6,19.9,20.0,20.1,21.369999999999997,19.4,19.9
3,20.5,20.1,20.8,20.5,21.2,20.6,20.6
4,20.9,20.6,21.0,25.6,20.9,20.4,20.9
5,23.1,23.6,23.7,27.5,23.1,24.5,23.1
6,22.1,24.1,16.6,21.4,20.9,22.6,21.388888888888893
7,21.2,21.0,20.8,20.3,21.2,21.9,19.8
8,20.5,21.0,22.0,26.5,26.9,21.4,26.5
9,20.5,21.7,21.6,19.2,21.3,22.4,20.4
10,19.3,21.0,20.3,20.2,20.5,20.9,19.8
11,19.7,21.3,21.6,20.4,21.369999999999997,18.9,21.388888888888893
12,20.0,19.8,19.3,17.8,17.7,19.4,21.388888888888893
