MES,2016,2017,2018,2019,2020,2021,2022
1,9.1,4.3,3.8,4.8,15.0,13.8,13.4
2,4.5,3.6,6.6,6.8,11.900000000000002,7.7,6.5
3,8.0,10.2,10.1,9.3,10.7,10.9,9.8
4,9.7,11.1,9.9,16.4,10.5,10.6,10.5
5,12.7,12.8,12.6,14.8,10.8,12.7,10.8
6,10.8,13.9,5.2,9.8,13.3,15.0,11.466666666666667
7,13.5,12.7,12.3,11.9,13.7,15.3,12.7
8,12.5,14.6,15.3,16.7,16.3,14.9,16.7
9,13.8,11.0,12.6,10.4,13.6,14.6,12.5
10,7.2,12.2,11.0,11.4,10.7,11.3,10.3
11,9.4,11.5,11.2,11.9,11.900000000000002,7.2,11.466666666666667
12,9.6,5.7,5.5,5.5,4.4,8.4,11.466666666666667
