MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,22.0,0.01,0.0,13.0,9.0,6.0,13.0,0.0,0.01,77.0,0.0
2,0.01,0.01,0.01,3.5,15.5,0.0,0.0,10.0,0.0,0.0,13.0
3,22.0,10.0,15.5,14.5,0.01,0.01,0.0,0.0,0.0,0.1,0.0
4,32.0,0.0,23.0,13.6,26.0,4.0,0.0,9.0,63.0,24.0,0.0
5,20.0,0.0,20.0,13.3,7.0,26.0,24.0,21.0,46.0,37.0,36.0
6,20.5,20.0,22.0,28.0,25.0,26.0,57.0,63.0,26.0,89.0,102.0
7,42.5,20.0,22.0,19.0,17.0,63.0,57.0,27.0,62.0,98.0,25.166666666666668
8,40.0,28.5,35.5,26.0,16.0,49.0,16.0,37.0,63.0,56.0,25.166666666666668
9,65.0,12.5,38.5,26.0,33.0,33.0,24.0,37.0,0.7,41.0,25.166666666666668
10,28.0,13.5,25.0,26.0,33.0,16.5,11.0,9.0,26.0,114.0,25.166666666666668
11,20.5,8.5,25.0,18.0,0.01,18.0,0.01,11.0,0.0,0.0,25.166666666666668
12,0.0,0.01,8.0,19.0,0.0,5.0,0.0,0.01,2.0,0.0,25.166666666666668
