MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,60.53,0.03,0.0,13.03,9.0,6.01,13.01,0.0,0.01,77.01,0.0
2,0.02,0.02,0.01,3.51,34.9,0.0,0.0,10.0,0.0,0.0,21.0
3,52.04,10.0,25.03,33.31,0.02,0.01,0.0,0.0,0.0,0.22,0.0
4,45.01,0.0,23.0,34.1,35.0,4.0,0.0,9.01,76.03,24.01,0.0
5,30.51,0.0,76.51,22.1,22.0,70.0,24.0,38.0,50.0,37.0,58.5
6,114.04,70.54,96.52,144.2,119.0,92.5,363.0,269.0,104.01,323.0,505.7
7,98.51,65.03,167.02,47.01,26.0,200.0,247.0,94.0,217.7,353.0,97.53333333333335
8,144.51,126.55,112.01,134.51,16.0,100.0,107.0,107.5,199.9,223.4,97.53333333333335
9,111.03,62.52,125.55,85.01,67.02,183.0,80.0,208.0,0.71,142.41,97.53333333333335
10,106.51,21.51,25.02,105.5,64.02,31.22,11.01,9.02,46.9,161.01,97.53333333333335
11,52.03,16.54,25.01,47.0,0.03,26.0,0.03,15.01,0.0,0.0,97.53333333333335
12,0.0,0.05,14.52,22.0,0.0,5.0,0.0,0.01,2.02,0.0,97.53333333333335
