MES,2015,2016,2017,2018,2019,2020,2021,2024,2025
1,15.4,15.0,17.8,14.8,16.2,17.2,17.3,19.7,15.8
2,16.9,15.6,18.5,17.0,13.0,17.7,16.8,19.7,18.0
3,16.8,18.4,19.3,18.5,18.5,19.2,18.2,19.7,17.5
4,19.8,19.2,20.9,19.4,19.3,22.3,20.6,19.7,19.8
5,19.3,21.5,21.8,20.0,21.8,22.0,22.3,19.7,17.775
6,19.5,20.6,20.3,20.3,21.7,20.7,21.6,19.7,17.775
7,19.7,20.1,20.5,21.2,20.4,21.6,21.1,19.7,17.775
8,20.2,20.1,20.7,19.8,21.8,20.7,20.9,21.1,17.775
9,20.0,20.3,20.1,20.4,20.3,20.0,20.9,20.9,17.775
10,19.4,20.1,19.8,19.4,20.1,19.0,19.1,20.0,17.775
11,19.1,19.8,20.1,18.2,18.4,18.9,18.4,19.1,17.775
12,18.4,18.8,17.7,17.3,17.1,16.5,17.4,17.4,17.775
