MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,164.62,26.24,194.3,400.15,181.52,277.31,235.51,246.12,128.52,148.04,209.53
2,58.52,93.34,172.22,400.54,25.31,242.65,109.5,99.16,143.52,37.52,164.52
3,117.54,55.73,210.62,162.13,25.72,32.7,58.1,35.77,33.02,39.01,59.0
4,92.3,61.52,32.02,159.22,11.91,22.51,32.0,201.41,215.51,113.0,11.0
5,125.2,147.8,66.5,3.51,22.51,243.1,126.23,111.0,89.3,15.0,223.0
6,317.73,262.0,168.11,377.41,336.9,403.04,276.11,455.01,60.8,267.0,133.41
7,107.13,387.72,639.9,378.41,296.03,94.2,275.61,193.15,384.83,473.03,133.41
8,223.82,523.21,103.04,383.02,67.42,254.7,701.1,287.05,376.02,453.0,133.41
9,316.41,533.4,885.53,424.11,218.91,600.4,422.6,666.12,210.01,439.0,133.41
10,872.31,835.6,892.9,1192.41,946.73,296.3,893.1,404.0,392.03,1384.5,133.41
11,711.04,340.31,102.43,259.41,597.9,451.1,412.4,182.73,455.52,131.51,133.41
12,236.4,348.33,190.86,316.71,89.74,210.2,65.4,375.81,544.5,111.52,133.41
