MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,18.6,19.2,21.4,18.1,19.9,21.0,20.4,19.9,22.0,21.3,19.5
2,19.2,20.0,22.8,21.9,22.1,20.8,20.8,19.8,20.8,21.3,21.8
3,21.6,23.6,23.3,23.5,22.0,23.5,22.9,21.8,24.8,24.8,24.1
4,26.3,25.9,25.8,24.6,24.0,27.4,25.0,25.0,25.8,27.1,25.4
5,26.2,27.2,27.8,26.2,29.0,27.2,27.0,27.1,27.0,30.6,28.2
6,26.5,27.0,27.0,27.0,27.3,26.3,26.4,25.5,28.1,28.6,23.8
7,26.6,26.5,25.9,26.3,26.2,27.0,26.0,27.0,27.0,26.6,23.8
8,27.1,26.6,27.0,26.0,27.0,26.5,26.0,26.9,27.0,26.6,23.8
9,26.7,26.0,25.7,26.4,26.3,25.5,26.4,25.3,27.1,27.0,23.8
10,25.4,24.7,24.0,24.4,25.2,23.9,24.8,23.8,25.8,23.4,23.8
11,24.0,22.6,22.7,22.0,21.9,22.3,21.7,22.8,21.8,23.9,23.8
12,22.4,22.0,20.6,21.0,20.6,19.5,22.1,20.7,20.0,21.2,23.8
