MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,28.5,32.0,35.0,30.5,28.5,32.0,34.0,33.5,33.5,31.0,32.0
2,28.0,34.0,34.0,31.5,33.5,33.5,32.0,33.5,34.5,33.5,34.0
3,36.0,37.5,37.0,35.0,34.5,37.5,35.0,36.0,36.5,38.0,37.0
4,38.5,38.0,38.0,36.0,38.5,40.0,38.0,36.5,38.5,40.0,37.5
5,35.0,36.5,39.0,36.0,40.0,38.5,38.0,38.0,37.0,41.5,40.5
6,35.0,36.5,37.0,37.0,37.0,36.0,36.5,35.0,38.5,42.0,36.2
7,34.5,34.0,33.5,34.5,34.5,37.0,35.5,36.0,35.0,35.0,36.2
8,35.5,35.0,35.5,34.0,35.5,41.5,35.5,35.0,36.5,35.0,36.2
9,35.0,34.5,34.0,35.0,34.0,36.5,35.0,33.5,35.5,36.5,36.2
10,34.5,34.5,33.5,35.0,35.5,33.0,35.0,32.5,36.5,33.5,36.2
11,32.0,32.5,31.0,34.0,31.5,31.0,30.0,32.5,33.0,34.0,36.2
12,34.5,32.5,29.5,33.5,32.5,30.5,33.0,31.5,32.0,30.5,36.2
