MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,22.7,24.0,27.3,22.2,24.7,25.8,25.4,24.8,28.1,26.6,24.0
2,24.3,25.2,29.3,27.4,27.7,25.9,26.7,25.2,26.8,28.2,27.6
3,26.9,29.3,29.5,29.4,27.5,30.3,28.9,28.0,31.8,31.4,30.9
4,32.3,31.9,32.4,31.0,31.0,34.1,31.5,32.1,32.8,34.5,32.9
5,32.2,33.7,34.7,32.7,35.8,34.0,33.1,33.8,34.0,37.8,35.5
6,32.3,33.1,33.0,33.0,33.0,31.8,32.6,31.6,35.1,35.0,30.18
7,32.5,32.4,31.7,32.4,32.2,33.4,32.0,33.4,33.2,32.6,30.18
8,33.4,32.5,33.0,32.3,33.6,32.8,32.2,33.5,33.4,32.7,30.18
9,32.6,32.0,31.0,32.5,32.5,31.4,32.5,31.0,34.1,33.0,30.18
10,30.7,30.2,29.2,29.5,30.7,29.5,30.4,29.6,31.6,28.0,30.18
11,28.6,27.7,28.5,26.9,26.7,27.3,27.4,27.9,26.2,30.3,30.18
12,27.0,26.7,26.0,25.9,25.9,24.8,27.8,25.6,24.5,26.7,30.18
