MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,14.5,14.5,15.4,14.1,15.0,16.1,15.4,15.0,15.8,16.0,15.0
2,14.1,14.7,16.2,16.4,16.5,15.7,14.9,14.4,14.8,14.4,15.9
3,16.4,18.0,17.1,17.7,16.4,16.7,16.9,15.6,17.7,18.2,17.4
4,20.4,19.9,19.2,18.3,17.0,20.6,18.6,17.9,18.9,19.8,18.0
5,20.3,20.7,20.8,19.6,22.1,20.4,20.9,20.5,19.9,23.4,21.0
6,20.7,21.0,21.0,21.0,21.6,20.8,20.1,19.3,21.2,22.3,17.46
7,20.8,20.7,20.0,20.2,20.2,20.6,20.1,20.5,20.8,20.6,17.46
8,20.8,20.7,21.1,19.8,20.5,20.3,19.8,20.2,20.6,20.5,17.46
9,20.8,20.1,20.4,20.3,20.1,19.7,20.2,19.6,20.1,21.1,17.46
10,20.0,19.2,18.9,19.4,19.8,18.3,19.1,18.0,20.0,18.8,17.46
11,19.3,17.5,16.9,17.2,17.1,17.3,16.0,17.6,17.3,17.4,17.46
12,17.7,17.3,15.3,16.0,15.3,14.2,16.4,15.8,15.6,15.8,17.46
