MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,108.75,33.3,6.5,75.0,3.2,35.0,9.8,28.8,0.0
2,108.75,23.7,3.0,17.0,4.0,21.2,71.93333333333334,28.8,0.0
3,108.75,30.4,6.5,1.0,2.5,0.5,100.5,18.0,0.0
4,108.75,120.5,0.01,57.0,20.5,34.8,105.5,6.5,0.0
5,108.75,11.8,2.4,51.0,18.0,4.5,71.93333333333334,0.0,0.0
6,108.75,36.0,43.4,66.0,36.2,45.5,71.93333333333334,28.8,0.0
7,108.75,36.5,9.3,42.5,30.4,35.0,71.93333333333334,65.5,0.0
8,111.5,43.3,0.0,51.6,114.2,67.5,71.93333333333334,54.0,0.0
9,106.0,43.0,13.0,145.4,40.7,33.5,71.93333333333334,28.8,0.0
10,108.75,64.5,50.2,32.8,25.5,123.5,71.93333333333334,28.8,0.0
11,108.75,11.0,10.5,38.5,43.8,65.5,71.93333333333334,28.8,0.0
12,108.75,8.7,12.5,3.2,3.5,5.5,71.93333333333334,28.8,0.0
