MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,26.5,15.6,18.1,19.2,19.0,17.8,21.2,28.18,26.4
2,26.5,21.9,21.0,20.0,19.6,17.4,23.700000000000003,28.18,26.4
3,26.5,22.5,21.2,24.8,23.8,21.6,24.6,25.1,26.4
4,26.5,24.0,25.3,27.6,26.2,27.4,25.3,27.4,26.4
5,26.5,23.11818181818182,30.0,27.8,27.9,30.0,23.700000000000003,32.8,26.4
6,26.5,27.2,29.1,27.9,27.5,27.9,23.700000000000003,28.18,26.4
7,26.5,27.6,28.4,29.1,27.4,27.9,23.700000000000003,27.6,26.4
8,27.5,26.8,30.4,27.8,27.6,28.2,23.700000000000003,28.0,26.4
9,25.5,27.3,28.7,26.4,27.0,25.9,23.700000000000003,28.18,26.4
10,26.5,23.2,25.2,25.0,25.8,23.4,23.700000000000003,28.18,26.4
11,26.5,19.6,21.5,23.1,21.9,21.0,23.700000000000003,28.18,26.4
12,26.5,18.6,19.8,18.5,22.4,19.6,23.700000000000003,28.18,26.4
