MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,18.75,3.0,7.0,8.0,6.5,7.0,7.5,18.4,11.0
2,18.75,10.0,5.0,9.5,6.0,6.5,10.5,18.4,11.0
3,18.75,13.5,8.5,10.0,11.0,9.5,8.5,13.5,11.0
4,18.75,13.5,12.5,14.0,13.5,14.5,15.5,14.5,11.0
5,18.75,13.227272727272727,21.0,19.0,15.0,19.5,10.5,22.5,11.0
6,18.75,20.0,19.0,18.0,19.5,19.5,10.5,18.4,11.0
7,18.75,20.5,19.5,21.0,20.5,19.5,10.5,21.0,11.0
8,20.5,21.0,20.0,2.0,19.0,20.0,10.5,20.5,11.0
9,17.0,19.0,20.0,13.0,19.0,17.0,10.5,18.4,11.0
10,18.75,13.0,13.5,12.5,11.5,11.5,10.5,18.4,11.0
11,18.75,3.5,8.5,14.0,12.5,11.5,10.5,18.4,11.0
12,18.75,8.5,10.0,7.5,6.5,2.5,10.5,18.4,11.0
