MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,21.8,10.5,13.8,13.8,13.8,12.6,15.0,21.360000000000003,18.4
2,21.8,16.9,15.3,14.3,13.9,12.5,17.3,18.3,18.4
3,21.8,17.3,15.9,17.9,16.0,13.7,17.4,20.0,18.4
4,21.8,17.8,17.2,20.6,19.2,19.8,19.5,24.6,18.4
5,21.8,18.11818181818182,23.2,21.3,20.6,22.7,17.3,21.360000000000003,18.4
6,21.8,22.4,22.7,21.1,21.6,21.3,17.3,22.2,18.4
7,21.8,22.3,21.5,22.5,21.5,21.6,17.3,21.7,18.4
8,22.3,21.9,22.4,21.1,21.3,21.6,17.3,21.360000000000003,18.4
9,21.3,21.9,21.6,20.9,21.4,20.9,17.3,21.360000000000003,18.4
10,21.8,19.4,19.8,18.9,19.6,18.5,17.3,21.360000000000003,18.4
11,21.8,15.3,16.8,17.2,16.3,16.7,17.3,21.360000000000003,18.4
12,21.8,13.6,14.5,12.7,15.1,14.0,17.3,21.360000000000003,18.4
