MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,75.15,96.61,8.7,37.7,29.98,92.71,66.6,74.28,22.36,138.63,78.15
2,44.8,43.43,12.22,19.3,22.31,32.62,54.74,56.14,33.01,36.61,54.84
3,189.43,70.0,58.5,114.71,53.61,9.21,23.11,40.76,144.31,49.5,12.72
4,179.5,130.9,78.31,98.3,65.13,192.9,73.21,26.43,155.3,41.4,26.71
5,116.81,146.91,156.21,58.4,155.92,131.23,199.23,26.92,100.74,0.0,293.71
6,259.52,335.61,340.0,194.01,298.61,273.85,306.8,326.24,83.74,490.0,93.226
7,131.02,179.81,129.31,63.9,130.54,156.13,182.03,105.54,183.21,232.3,93.226
8,135.62,414.0,275.23,330.6,229.51,225.11,245.85,272.31,298.0,170.64,93.226
9,396.36,332.13,376.72,310.22,224.94,424.35,372.62,349.52,217.61,490.82,93.226
10,158.02,112.82,124.61,223.4,255.23,44.71,102.55,179.26,173.74,265.63,93.226
11,208.62,53.31,16.93,348.94,32.93,32.41,59.09,87.66,42.85,28.62,93.226
12,17.6,66.31,56.91,53.75,28.82,29.62,35.69,33.71,110.42,75.33,93.226
