MES,2015,2016,2017,2018,2019,2020,2021,2023,2024,2025
1,27.0,28.0,33.0,32.0,28.0,28.0,30.0,32.5,27.666666666666668,29.0
2,30.0,33.0,33.0,30.0,36.0,30.0,34.0,32.5,27.666666666666668,31.0
3,32.0,34.0,34.0,37.0,33.0,36.0,35.0,32.5,27.666666666666668,35.0
4,36.0,35.0,37.0,34.0,35.0,38.0,35.0,32.5,27.666666666666668,31.666666666666668
5,32.0,35.0,35.0,33.0,35.0,34.0,35.0,37.0,27.666666666666668,31.666666666666668
6,31.0,32.0,33.0,33.0,36.0,33.0,32.0,37.0,27.666666666666668,31.666666666666668
7,32.0,31.0,31.0,34.0,32.0,35.0,30.0,33.0,27.666666666666668,31.666666666666668
8,32.0,32.0,32.0,31.0,33.0,32.0,31.0,32.0,27.666666666666668,31.666666666666668
9,30.0,31.0,30.0,32.0,32.0,32.0,30.0,31.0,27.666666666666668,31.666666666666668
10,30.0,29.0,32.0,30.0,30.0,30.0,31.0,31.0,28.0,31.666666666666668
11,28.5,32.0,28.0,31.0,29.0,28.0,27.0,28.0,29.0,31.666666666666668
12,31.0,30.0,27.0,31.0,30.0,28.0,30.0,31.0,26.0,31.666666666666668
