MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,20.7,40.8,123.1,64.8,31.9,47.3,18.9,43.0,63.3,56.7
2,14.8,33.2,0.0,1.7,57.0,44.3,8.1,85.55454545454546,11.6,25.5
3,7.4,45.0,49.4,3.1,20.3,6.9,5.3,50.1,14.4,6.2
4,1.6,8.3,59.9,4.6,16.8,38.8,39.0,16.1,24.7,1.0
5,126.0,18.9,15.3,2.0,54.2,5.1,43.1,89.9,7.1,109.3
6,44.2,72.3,24.1,30.2,65.9,51.8,68.3,114.0,66.7,39.739999999999995
7,105.3,76.2,45.29999999999999,24.0,32.0,22.0,37.7,101.6,101.9,39.739999999999995
8,65.1,47.4,45.29999999999999,37.9,68.0,116.5,40.3,74.3,43.4,39.739999999999995
9,70.3,93.1,45.29999999999999,68.1,109.2,81.3,135.1,43.4,124.3,39.739999999999995
10,140.0,116.5,45.29999999999999,179.0,153.2,158.0,212.0,185.8,248.7,39.739999999999995
11,69.8,48.5,45.29999999999999,45.0,150.9,76.5,141.9,97.5,102.7,39.739999999999995
12,28.0,53.5,45.29999999999999,54.2,71.4,23.7,68.2,125.4,68.3,39.739999999999995
