MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,47.1,84.5,408.9,206.6,132.0,127.8,77.8,128.5,80.71,217.5
2,61.9,95.7,0.0,2.0,163.9,83.0,30.2,249.1818181818182,20.3,50.4
3,16.8,166.2,101.7,3.8,42.4,18.7,6.62,90.8,21.32,11.8
4,4.4,22.6,77.4,4.6,24.1,42.5,67.0,35.7,24.71,1.0
5,192.1,25.0,24.8,2.4,176.6,10.3,99.9,128.2,7.1,184.51
6,193.6,363.3,122.55999999999999,186.8,324.1,204.3,311.31,172.6,357.6,93.042
7,450.5,277.6,122.55999999999999,99.3,99.5,120.5,163.0,583.5,363.8,93.042
8,265.0,221.5,122.55999999999999,155.8,307.3,416.3,163.4,169.5,386.61,93.042
9,491.2,484.5,122.55999999999999,272.9,313.5,342.0,898.3,338.8,505.71,93.042
10,823.91,402.6,122.55999999999999,606.4,385.4,701.4,522.41,400.8,849.8,93.042
11,264.09,134.44,122.55999999999999,183.6,617.0,329.6,299.0,326.1,224.22,93.042
12,136.7,143.0,122.55999999999999,89.3,266.0,103.2,161.0,366.5,140.21,93.042
