MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,22.3,24.5,21.1,23.2,23.9,23.2,22.6,24.6,27.927272727272726,22.9
2,22.5,25.7,23.2,25.3,24.2,24.2,22.6,27.955555555555556,25.2,24.7
3,26.5,26.2,26.0,25.2,26.4,26.1,25.0,27.0,27.4,27.0
4,28.7,28.4,27.2,26.9,29.6,28.2,27.8,28.0,29.4,27.1
5,29.7,29.4,28.5,31.0,29.2,29.8,29.2,28.9,33.1,30.4
6,28.6,28.0,29.1,29.4,28.4,28.3,27.4,30.0,30.2,26.419999999999998
7,28.3,27.8,25.849999999999998,28.2,29.1,28.6,28.2,28.4,28.6,26.419999999999998
8,28.7,28.8,25.849999999999998,28.7,28.5,28.0,28.0,28.7,28.3,26.419999999999998
9,28.2,27.9,25.849999999999998,28.0,27.8,28.2,27.1,28.4,28.4,26.419999999999998
10,27.1,27.0,25.849999999999998,27.2,26.8,27.6,26.2,27.6,26.3,26.419999999999998
11,25.6,25.0,25.849999999999998,24.6,25.2,24.6,25.4,27.955555555555556,26.2,26.419999999999998
12,25.6,23.6,25.849999999999998,23.7,22.6,25.1,24.5,27.955555555555556,24.1,26.419999999999998
