MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,33.8,36.0,32.4,31.0,35.0,35.6,34.6,34.0,37.13636363636363,34.4
2,35.2,36.0,27.8,37.5,36.2,34.8,34.8,37.75555555555556,35.2,36.0
3,39.2,38.0,36.4,39.6,39.0,37.7,37.5,38.2,38.2,39.2
4,42.9,40.8,38.0,40.0,40.0,40.2,40.6,40.0,41.3,39.8
5,42.0,41.2,38.2,45.4,39.2,40.6,41.0,41.6,44.0,43.0
6,38.7,38.4,39.2,40.6,38.0,38.4,36.5,43.0,43.0,38.480000000000004
7,35.2,33.8,35.333333333333336,34.5,38.6,36.8,35.8,34.4,34.5,38.480000000000004
8,35.5,37.0,35.333333333333336,37.1,38.0,36.4,35.4,36.6,35.5,38.480000000000004
9,36.5,35.8,35.333333333333336,34.7,37.0,36.7,34.8,35.0,37.0,38.480000000000004
10,35.8,35.0,35.333333333333336,37.0,34.5,36.0,34.4,37.0,34.2,38.480000000000004
11,35.4,31.2,35.333333333333336,33.2,32.5,31.1,33.8,37.75555555555556,35.0,38.480000000000004
12,36.0,29.6,35.333333333333336,34.8,33.7,34.5,33.2,37.75555555555556,30.6,38.480000000000004
