MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,12.0,13.5,14.4,15.2,17.4,16.5,15.0,15.4,19.990909090909092,14.8
2,14.0,13.0,17.3,16.0,15.8,14.8,12.5,19.711111111111112,18.0,15.3
3,17.6,16.0,19.2,18.0,16.3,16.4,15.0,17.5,18.2,16.2
4,19.5,20.0,17.9,17.1,20.8,19.1,18.5,20.4,19.0,16.0
5,20.0,18.2,20.3,23.0,20.0,21.8,21.0,18.0,22.8,19.6
6,20.1,19.0,20.5,20.0,21.5,21.0,21.0,21.0,22.6,16.380000000000003
7,20.0,19.7,18.266666666666666,21.3,22.3,22.0,21.0,22.0,21.8,16.380000000000003
8,21.0,20.8,18.266666666666666,20.0,21.7,20.0,21.0,22.0,22.4,16.380000000000003
9,20.5,21.1,18.266666666666666,20.8,21.0,22.0,20.8,21.5,20.4,16.380000000000003
10,19.5,19.4,18.266666666666666,19.0,20.0,19.0,20.0,19.6,20.0,16.380000000000003
11,17.0,17.0,18.266666666666666,17.0,19.0,18.0,19.4,19.711111111111112,17.0,16.380000000000003
12,16.0,15.0,18.266666666666666,15.8,15.4,17.0,16.0,19.711111111111112,17.7,16.380000000000003
