MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,20.6,21.0,23.2,20.6,22.2,24.2,21.4,21.8,22.0,22.2,20.6
2,21.6,21.5,24.8,24.0,24.8,23.0,21.5,20.8,23.0,22.4,22.9
3,23.7,26.0,26.0,25.7,25.0,26.0,24.1,22.8,25.5,25.8,23.9
4,28.6,27.6,27.3,26.8,26.2,27.2,24.8,26.5,27.1,27.8,25.0
5,29.1,29.7,29.0,28.5,29.5,28.4,27.9,28.8,27.6,29.5,27.6
6,28.6,28.9,28.7,28.5,28.7,27.6,27.1,26.8,29.0,29.4,26.4
7,28.6,28.0,26.6,27.1,28.2,28.8,26.5,26.5,27.2,26.8,24.400000000000002
8,28.6,27.5,28.0,26.7,27.8,26.8,27.2,26.1,27.0,27.2,24.400000000000002
9,27.9,27.8,26.9,26.8,27.0,26.4,26.5,25.6,28.1,27.4,24.400000000000002
10,26.4,26.3,25.5,25.6,26.0,25.8,26.0,24.6,26.6,25.3,24.400000000000002
11,25.0,24.9,24.8,24.0,24.0,24.0,23.9,23.9,23.1,25.1,24.400000000000002
12,24.3,24.2,22.4,22.3,23.4,21.4,23.8,21.4,21.8,22.5,24.400000000000002
