MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,30.5,34.0,34.0,32.0,30.0,35.0,33.0,35.0,30.0,35.0,32.0
2,34.0,36.0,36.0,34.0,35.5,34.0,31.0,30.0,38.0,35.0,32.0
3,36.0,37.0,37.0,36.5,36.5,37.0,37.0,37.0,37.0,37.0,35.0
4,37.5,37.0,37.0,36.5,37.0,37.0,37.0,37.5,37.0,37.0,37.0
5,37.5,38.0,37.5,37.0,37.5,37.0,37.0,37.0,37.0,37.0,37.0
6,36.5,38.0,37.5,37.0,37.5,37.0,37.5,36.0,37.0,37.0,37.0
7,36.0,36.0,35.0,36.0,36.5,37.0,37.5,34.0,37.0,34.0,35.0
8,37.0,35.0,37.0,34.0,37.0,37.0,36.0,35.0,37.0,35.0,35.0
9,36.5,37.0,35.0,35.0,36.5,35.5,34.5,35.0,36.0,36.0,35.0
10,36.0,35.0,34.0,35.0,35.0,36.0,36.0,32.0,35.0,32.0,35.0
11,35.5,34.0,32.0,34.0,31.5,33.0,31.5,32.0,34.0,32.0,35.0
12,35.0,34.0,31.0,36.0,32.0,33.0,32.0,30.0,33.0,31.0,35.0
