MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,14.0,11.0,14.0,13.0,13.0,18.0,15.0,12.0,14.0,15.0,12.0
2,14.0,13.5,14.0,14.5,14.5,14.0,14.0,11.0,15.0,15.0,14.0
3,15.0,16.0,18.0,18.0,17.0,15.5,17.0,14.0,16.0,17.0,14.0
4,18.5,17.5,19.0,16.5,15.0,19.0,18.0,17.0,19.0,18.0,14.0
5,19.0,19.0,18.0,21.0,23.0,21.0,21.0,21.0,16.0,22.0,18.0
6,22.0,21.0,22.0,21.0,20.0,20.0,21.0,20.0,22.0,20.0,20.0
7,20.0,20.0,21.0,19.0,20.0,21.0,21.0,20.0,21.0,20.0,15.333333333333334
8,20.5,21.0,22.0,20.0,21.0,21.0,20.0,20.0,22.0,22.0,15.333333333333334
9,21.0,21.0,20.0,21.0,20.5,20.0,20.0,21.0,20.0,22.0,15.333333333333334
10,19.5,19.0,18.0,20.0,18.0,17.0,18.0,19.0,20.0,20.0,15.333333333333334
11,19.0,17.0,17.0,12.0,16.5,17.0,18.0,18.0,16.0,15.0,15.333333333333334
12,17.5,16.0,12.0,13.0,15.5,14.5,15.0,14.0,15.0,15.0,15.333333333333334
