MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,18.5,18.2,2.0,20.0,6.0,9.0,78.0,31.3,1.2,101.0,26.7
2,7.7,9.2,0.3,7.1,2.5,1.8,6.2,12.1,2.2,27.5,5.8
3,86.0,21.0,29.0,24.3,4.2,1.2,3.1,20.5,31.0,5.0,1.6
4,27.6,12.0,10.2,42.0,34.0,21.5,6.3,2.2,35.5,1.2,6.2
5,17.0,2.5,40.5,9.8,25.0,50.5,33.0,1.8,27.5,0.01,50.7
6,39.0,108.6,120.0,33.5,20.0,63.7,60.0,69.5,46.3,100.0,103.0
7,55.0,57.0,55.5,16.3,69.0,19.5,60.0,40.0,66.0,77.0,32.333333333333336
8,54.3,62.0,126.0,51.5,12.2,55.5,70.5,31.5,53.5,29.5,32.333333333333336
9,35.5,50.9,102.0,32.6,26.2,32.2,58.3,33.5,101.0,24.7,32.333333333333336
10,12.5,39.0,14.0,36.2,41.8,4.4,15.5,85.0,46.5,77.5,32.333333333333336
11,29.8,15.5,30.5,13.5,10.4,8.0,27.5,8.4,20.0,2.3,32.333333333333336
12,3.7,18.0,3.5,8.0,1.0,11.2,2.7,2.5,6.0,46.1,32.333333333333336
