MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,53.34,49.21,2.34,31.11,23.01,54.52,143.75,43.34,3.11,142.64,59.44
2,20.65,28.4,0.71,14.73,5.53,3.25,20.49,30.13,3.21,43.49,21.82
3,196.46,49.81,60.9,81.8,15.9,1.8,7.22,36.93,60.8,6.94,1.62
4,55.51,44.0,16.5,74.23,43.51,24.42,9.81,2.43,113.14,1.81,11.41
5,23.93,10.51,82.4,12.52,29.1,150.02,89.21,3.42,52.22,0.01,120.62
6,145.72,369.6,320.2,99.61,79.92,135.31,393.74,248.52,97.94,440.91,594.02
7,156.43,144.41,162.92,47.52,105.62,57.8,211.65,123.42,239.44,238.54,134.82166666666666
8,199.4,246.71,258.41,197.22,21.01,201.43,209.94,107.24,258.34,168.83,134.82166666666666
9,113.81,206.21,216.01,121.8,155.52,163.52,99.8,197.73,135.05,96.65,134.82166666666666
10,32.41,88.22,51.32,128.02,213.43,12.14,29.83,116.94,89.52,157.87,134.82166666666666
11,75.34,39.23,45.12,49.61,19.47,15.13,48.01,25.33,39.04,6.15,134.82166666666666
12,5.42,74.94,6.61,22.3,2.24,17.71,8.45,4.52,28.64,63.28,134.82166666666666
