MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.5,16.6,19.3,16.4,18.6,18.7,18.7,18.5,20.0,18.8,19.4
2,17.1,17.0,21.1,20.4,21.4,20.7,18.6,17.8,20.1,20.0,20.8
3,19.3,21.5,20.8,21.8,21.0,22.6,21.4,20.2,22.4,22.1,22.1
4,23.5,23.1,23.0,21.5,23.1,25.1,23.1,23.0,22.9,24.0,21.9
5,23.8,25.0,24.5,23.2,25.6,23.9,24.1,25.0,23.8,28.1,25.0
6,23.0,23.7,23.6,24.1,24.4,24.1,23.4,22.4,24.7,25.1,22.8
7,23.0,23.2,22.5,23.6,23.9,24.1,23.0,23.0,23.6,23.3,22.0
8,23.4,22.9,22.8,23.0,24.6,23.6,23.1,23.6,24.1,24.1,22.0
9,22.9,22.6,22.6,24.1,24.1,23.0,23.4,22.1,24.8,24.0,22.0
10,22.6,21.9,21.4,23.2,23.3,22.6,23.1,21.5,23.0,22.8,22.0
11,21.4,20.5,19.8,20.3,20.9,21.8,20.2,21.5,21.1,22.9,22.0
12,20.4,20.4,18.0,19.0,19.9,18.6,21.6,19.6,18.8,20.4,22.0
