MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,26.0,29.0,32.0,30.0,28.0,30.0,38.0,35.0,34.5,38.5,35.5
2,29.0,32.0,32.0,29.0,39.5,37.0,39.0,33.0,33.5,36.0,35.0
3,31.0,33.0,31.5,33.0,33.0,36.0,35.5,36.0,36.0,39.0,37.0
4,36.0,35.0,35.0,32.0,35.0,38.0,38.5,35.0,35.0,38.0,37.0
5,32.5,34.5,33.5,32.0,36.0,33.5,36.0,36.5,35.0,39.5,36.0
6,30.0,32.0,34.0,33.0,34.5,34.0,34.0,31.0,39.0,38.0,31.5
7,31.0,31.0,30.0,33.0,33.0,34.0,32.0,31.5,34.0,33.0,35.333333333333336
8,31.0,31.0,31.0,32.5,35.0,35.0,33.0,33.5,34.5,33.5,35.333333333333336
9,30.5,29.5,29.0,33.0,34.0,37.0,33.0,31.5,35.0,34.0,35.333333333333336
10,31.0,29.0,29.0,32.0,33.0,33.0,36.0,33.5,34.5,35.0,35.333333333333336
11,29.0,32.0,28.5,32.0,33.5,33.0,32.0,33.5,38.0,35.0,35.333333333333336
12,31.0,29.5,27.5,32.0,33.5,31.0,36.0,35.0,34.5,34.0,35.333333333333336
