MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,20.8,21.0,24.9,20.6,24.3,24.0,24.0,24.6,27.0,24.0,25.9
2,21.9,22.1,27.2,26.1,27.9,27.1,24.4,23.7,27.2,27.2,27.2
3,23.8,26.6,25.7,27.1,26.7,29.3,27.8,26.5,28.7,28.3,29.2
4,29.0,28.6,28.8,26.6,30.1,31.4,29.7,29.4,28.9,30.5,28.3
5,29.2,30.4,29.9,28.3,31.8,29.4,30.1,31.3,29.9,34.9,31.2
6,28.0,29.0,28.3,29.4,30.2,30.4,28.4,27.8,30.4,30.8,27.4
7,28.4,28.5,27.4,29.8,30.5,30.2,28.5,28.9,29.5,28.2,28.2
8,28.8,27.6,27.9,28.6,31.4,29.3,28.8,29.8,30.2,30.5,28.2
9,27.7,27.3,26.8,30.5,30.4,28.5,29.1,27.3,32.0,29.4,28.2
10,27.5,27.0,25.9,28.7,29.2,29.8,29.4,27.4,29.0,28.9,28.2
11,25.6,25.3,25.1,26.0,26.3,28.5,26.5,27.5,27.1,30.9,28.2
12,25.1,25.0,23.1,24.8,26.6,24.6,29.5,26.2,24.0,27.8,28.2
