MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,9.0,8.0,10.0,8.5,8.0,8.0,10.0,7.5,8.5,9.5,7.0
2,8.5,7.0,12.0,9.0,10.0,9.5,6.5,6.0,8.5,9.0,9.0
3,10.0,11.0,13.0,13.5,12.5,12.0,10.5,7.0,12.0,12.0,10.0
4,14.5,13.5,14.0,11.0,12.0,16.0,9.0,11.0,12.0,11.0,8.5
5,15.0,15.0,14.0,16.0,17.0,15.5,16.5,15.0,13.5,13.5,14.0
6,15.5,16.0,17.0,16.0,15.5,15.5,16.0,15.0,15.5,17.5,16.0
7,16.0,17.0,16.0,16.0,12.5,16.0,15.5,16.0,16.0,16.0,10.75
8,10.0,16.5,14.0,16.5,15.0,16.5,15.5,16.5,16.0,14.5,10.75
9,17.0,16.0,15.0,16.0,16.0,16.0,16.0,14.0,16.5,16.0,10.75
10,14.0,15.0,13.0,15.0,13.5,11.0,12.0,7.0,12.0,13.0,10.75
11,15.0,12.0,10.0,7.5,12.5,11.5,11.0,10.0,12.0,9.0,10.75
12,12.0,12.0,6.0,8.0,9.0,9.5,9.0,9.0,8.0,10.5,10.75
