MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,12.2,12.3,13.7,12.2,12.8,13.4,13.4,12.4,12.9,13.5,12.9
2,12.3,11.8,15.0,14.7,14.9,14.3,12.9,11.9,13.1,12.8,14.4
3,14.8,16.3,15.9,16.4,15.4,15.8,15.1,14.0,16.1,16.0,15.0
4,18.0,17.7,17.3,16.4,16.2,18.8,16.6,16.7,16.9,17.6,15.4
5,18.4,19.6,19.2,18.1,19.5,18.4,18.1,18.8,17.6,21.3,18.7
6,18.0,18.4,18.9,18.8,18.7,17.9,18.4,17.0,19.0,19.5,18.2
7,17.7,18.0,17.7,17.5,17.3,18.0,17.5,17.0,17.8,18.4,15.766666666666666
8,17.9,18.2,17.7,17.4,17.9,17.8,17.5,17.4,18.1,17.7,15.766666666666666
9,18.1,17.8,18.3,17.7,17.8,17.6,17.7,17.0,17.6,18.5,15.766666666666666
10,17.8,16.8,16.9,17.7,17.4,15.3,16.8,15.7,17.0,16.7,15.766666666666666
11,17.1,15.7,14.4,14.6,15.5,15.1,14.0,15.5,15.2,14.9,15.766666666666666
12,15.6,15.8,12.9,13.1,13.2,12.5,13.7,13.0,13.6,13.0,15.766666666666666
