MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,29.0,8.8,10.0,19.5,12.0,11.0,140.0,10.4,6.3,61.0,15.0
2,6.3,8.3,8.0,10.5,8.0,29.5,21.5,6.5,19.0,8.0,45.0
3,62.0,11.5,17.0,13.0,9.2,28.96666666666667,9.5,4.5,52.0,12.7,6.5
4,36.0,14.0,41.0,18.5,21.0,28.96666666666667,8.5,17.0,72.0,43.0,3.5
5,32.0,18.0,43.0,43.5,26.0,28.96666666666667,40.3,18.0,34.5,0.4,98.0
6,77.0,72.0,100.0,53.5,60.0,28.96666666666667,67.0,63.0,41.0,101.0,70.0
7,70.0,42.0,30.5,25.0,69.0,28.96666666666667,37.5,36.0,47.0,92.0,39.666666666666664
8,25.0,140.0,70.0,69.0,52.0,28.96666666666667,43.0,33.0,54.0,66.0,39.666666666666664
9,51.0,58.0,75.0,32.5,99.0,83.0,89.0,66.0,117.5,60.5,39.666666666666664
10,14.5,43.0,49.0,40.0,58.0,34.0,30.0,83.5,46.0,76.0,39.666666666666664
11,49.5,29.5,11.0,59.0,6.5,12.5,21.0,18.0,23.0,11.5,39.666666666666664
12,9.1,37.0,3.0,10.0,8.5,3.8,11.5,3.5,20.1,20.0,39.666666666666664
