MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,12.8,13.1,13.9,12.1,12.8,14.2,13.7,13.0,14.1,14.9,14.7
2,13.2,12.5,14.9,15.1,15.8,15.2,13.4,13.2,14.6,13.8,15.8
3,15.6,16.6,16.0,17.0,15.8,15.450000000000001,15.9,15.3,16.9,17.1,16.7
4,18.6,17.7,17.5,17.2,17.2,15.450000000000001,18.1,18.0,18.0,18.9,17.1
5,18.8,19.8,19.9,18.6,20.4,15.450000000000001,19.2,19.6,18.9,22.4,20.1
6,18.7,18.8,19.7,19.5,20.1,15.450000000000001,19.1,18.3,20.5,20.9,19.4
7,18.2,19.0,18.2,18.0,18.2,15.450000000000001,18.4,18.0,19.2,19.0,17.3
8,18.9,18.8,19.0,18.3,19.1,15.450000000000001,18.1,18.7,19.2,19.0,17.3
9,18.6,18.8,19.0,18.6,18.8,18.4,18.7,17.9,19.0,19.6,17.3
10,18.1,17.4,17.1,17.9,18.4,16.5,18.0,16.4,18.1,17.6,17.3
11,17.8,16.1,14.9,15.6,16.3,15.2,14.7,16.2,17.1,15.9,17.3
12,15.9,15.9,13.0,13.7,14.1,13.2,14.4,14.4,14.8,14.3,17.3
