MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,25.0,25.0,29.0,29.0,25.0,25.0,29.0,29.0,28.0,29.0,28.0
2,27.0,30.0,29.0,26.0,33.0,28.0,29.0,28.0,29.0,29.0,30.0
3,28.0,30.0,29.0,30.0,29.0,26.5,31.0,33.0,32.0,33.0,31.0
4,33.0,32.0,34.0,30.0,32.0,26.5,32.0,31.0,29.0,33.0,33.0
5,29.0,31.0,30.0,28.0,33.0,26.5,32.0,32.0,30.0,35.0,33.0
6,29.0,28.0,30.0,28.0,30.0,26.5,28.0,27.0,31.0,35.0,28.0
7,27.0,31.0,26.0,29.0,27.0,26.5,26.0,27.0,30.0,27.0,30.5
8,27.0,28.0,27.0,26.0,28.0,26.5,26.0,27.0,27.0,28.0,30.5
9,26.0,28.0,26.0,27.0,27.0,28.0,27.0,26.0,27.0,27.0,30.5
10,29.0,25.0,27.0,27.0,28.0,26.0,30.0,26.0,29.0,27.0,30.5
11,25.0,29.0,25.0,28.0,26.0,26.0,27.0,25.0,31.0,27.0,30.5
12,28.0,28.0,25.0,28.0,28.0,26.0,28.0,27.0,28.0,26.0,30.5
