MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,17.5,18.5,21.7,17.5,18.9,20.0,19.8,19.1,21.6,21.2,21.0
2,18.7,19.1,23.3,22.2,23.5,21.4,20.7,19.4,22.0,21.7,22.2
3,20.9,23.4,22.5,24.3,22.3,21.533333333333335,23.4,23.0,24.7,24.4,25.2
4,25.5,24.7,25.2,23.9,25.6,21.533333333333335,26.0,25.9,24.7,26.9,25.1
5,24.9,26.5,26.7,24.6,28.2,21.533333333333335,26.5,27.8,25.7,31.4,27.5
6,23.6,24.8,25.0,25.6,26.8,21.533333333333335,24.6,24.4,27.4,27.7,24.4
7,24.5,25.8,24.3,25.3,25.0,21.533333333333335,24.8,24.2,25.5,24.9,24.233333333333334
8,25.4,25.1,25.2,24.7,26.4,21.533333333333335,24.2,25.1,25.4,25.3,24.233333333333334
9,24.0,24.8,23.8,24.8,25.0,23.6,24.5,22.9,25.7,24.7,24.233333333333334
10,23.4,23.4,22.6,23.2,23.8,23.4,24.2,21.9,23.7,22.5,24.233333333333334
11,22.5,21.8,21.4,21.0,21.4,21.7,21.0,22.2,22.4,23.1,24.233333333333334
12,21.9,21.7,19.9,20.3,20.6,19.1,22.2,20.4,20.1,20.8,24.233333333333334
