MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,3.0,1.0,1.0,0.0,-3.0,3.0,4.0,3.0,-1.0,4.0,3.0
2,3.0,0.0,4.0,3.0,5.0,5.0,1.0,3.0,3.0,2.0,2.0
3,7.0,6.0,6.0,6.0,4.0,4.833333333333333,4.0,2.0,5.0,6.0,4.0
4,10.0,7.0,8.0,5.0,3.0,4.833333333333333,5.0,8.0,8.0,4.0,2.0
5,10.0,6.0,7.0,9.0,10.0,4.833333333333333,9.0,8.0,8.0,10.0,8.0
6,9.0,10.0,11.0,10.0,4.0,4.833333333333333,10.0,9.0,11.0,10.0,10.0
7,9.0,10.0,8.0,9.0,9.0,4.833333333333333,8.0,9.0,10.0,11.0,4.833333333333333
8,10.0,9.0,10.0,10.0,8.0,4.833333333333333,8.0,9.0,11.0,9.0,4.833333333333333
9,11.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,12.0,4.833333333333333
10,9.0,7.0,7.0,10.0,10.0,6.0,5.0,7.0,7.0,6.0,4.833333333333333
11,10.0,4.0,4.0,6.0,7.0,4.0,4.0,8.0,6.0,1.0,4.833333333333333
12,7.0,5.0,-1.0,-1.0,4.0,2.0,0.0,5.0,0.0,5.0,4.833333333333333
