MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,38.3,39.45,42.85,32.57,58.0,46.57,44.05,33.75,86.95,80.71,48.91
2,46.65,38.75,50.35,36.95,81.5,49.7,57.45,48.5,103.45,114.51,70.0
3,59.65,102.8,69.0,66.05,97.75,96.35,95.05,84.05,184.15,162.2,96.25
4,143.7,129.3,95.75,86.2,126.75,156.6,142.5,153.15,197.7,197.25,97.25
5,123.0,171.75,146.9,127.75,187.17,173.5,143.9,149.0,186.85,288.45,133.55
6,107.75,122.1,64.7,129.55,132.35,77.34,88.55,72.5,194.25,186.56,89.192
7,112.55,78.3,50.95,123.6,98.35,122.06,90.07,92.85,108.45,106.17,89.192
8,119.15,103.6,62.2,118.12,103.8,87.05,77.55,105.55,126.02,92.86,89.192
9,107.4,57.57,43.5,133.3,80.05,96.25,84.05,52.35,143.99,106.17,89.192
10,94.35,48.5,40.8,92.2,67.15,90.0,64.85,60.2,110.86,76.51,89.192
11,34.05,34.3,36.35,76.1,43.8,53.8,43.55,67.05,70.96,84.87,89.192
12,70.95,41.0,34.4,73.55,47.6,32.4,71.4,53.9,61.72,50.48,89.192
