MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,8.2,3.8,2.9,12.1,6.6,10.4,8.0,4.0,1.5,27.2,59.0
2,2.2,4.2,6.5,9.4,0.01,6.0,1.8,0.01,13.5,13.0,39.5
3,4.0,1.1,4.0,2.9,1.1,2.2,9.5,0.0,0.0,0.0,25.7
4,16.0,1.5,12.5,21.4,5.8,0.01,12.0,12.6,32.5,1.5,0.01
5,49.5,7.2,17.0,6.5,11.6,27.5,21.0,40.5,19.0,0.0,14.0
6,65.5,35.5,68.0,24.0,36.8,42.5,94.0,41.2,36.5,68.7,27.642000000000003
7,61.5,35.1,50.2,22.5,44.2,35.5,35.0,65.5,93.3,48.8,27.642000000000003
8,51.0,112.9,38.7,31.6,47.4,64.0,40.5,21.0,27.0,33.8,27.642000000000003
9,67.5,29.7,65.0,37.5,29.9,56.0,26.5,41.5,12.0,54.7,27.642000000000003
10,140.5,42.5,38.8,58.9,75.1,35.5,29.8,61.0,32.7,89.5,27.642000000000003
11,25.6,24.0,18.1,41.2,129.2,81.0,32.5,16.0,44.5,25.0,27.642000000000003
12,21.2,12.9,8.0,44.2,1.4,4.0,22.0,20.0,40.2,2.2,27.642000000000003
