MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.2,9.11,6.42,42.33,21.12,36.41,28.72,10.6,3.01,33.51,95.31
2,4.24,6.13,8.41,19.33,0.01,16.2,4.82,0.02,24.7,13.51,72.9
3,9.8,3.62,8.81,5.92,1.1,2.71,21.52,0.0,0.0,0.0,27.2
4,31.11,2.5,19.0,39.91,5.8,0.01,12.02,13.71,33.51,1.5,0.01
5,102.21,16.63,43.61,14.42,20.5,78.2,50.7,70.73,24.5,0.0,17.0
6,162.32,101.54,215.53,103.72,104.05,200.41,295.81,206.82,129.9,259.62,42.484
7,200.62,193.83,169.26,119.12,186.52,78.51,131.61,273.72,342.41,269.82,42.484
8,129.71,220.1,120.21,228.82,140.7,215.2,190.6,129.32,126.92,200.81,42.484
9,184.73,168.63,343.61,133.21,109.02,170.21,160.8,221.63,26.54,119.22,42.484
10,398.01,208.02,169.42,313.92,235.32,82.72,141.01,175.91,122.31,550.31,42.484
11,121.13,54.74,41.83,112.23,212.2,356.81,94.41,63.71,161.41,37.72,42.484
12,32.72,24.02,22.1,101.41,4.71,5.8,27.8,49.33,103.52,5.93,42.484
