MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,29.5,32.0,34.0,32.0,29.5,33.0,35.0,34.0,33.0,32.0,32.5
2,33.5,34.5,35.0,33.5,36.0,34.0,35.0,34.5,35.5,34.0,35.0
3,35.0,37.5,37.0,38.0,37.5,38.5,38.0,38.0,38.0,37.5,38.0
4,39.0,39.0,39.5,37.0,38.0,40.5,39.0,39.0,39.0,40.0,38.0
5,37.5,41.5,40.0,39.0,40.5,40.0,39.5,40.5,39.0,42.5,41.0
6,36.5,39.5,38.5,37.5,39.5,38.0,39.0,37.0,41.0,42.0,36.9
7,36.5,36.0,34.0,37.0,36.5,37.5,37.5,35.0,36.0,36.0,36.9
8,37.0,35.0,35.0,34.0,36.5,36.5,35.0,35.0,37.0,34.5,36.9
9,36.5,34.0,35.0,34.5,35.5,37.5,37.0,35.0,37.0,36.0,36.9
10,35.5,34.5,35.0,34.0,34.0,37.5,35.0,34.0,36.5,33.5,36.9
11,31.0,34.0,31.0,33.0,32.5,34.5,31.0,33.0,32.5,34.5,36.9
12,34.5,33.5,30.0,34.0,32.0,30.5,33.5,31.5,33.5,31.0,36.9
