MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,12.5,9.0,11.0,11.5,11.0,14.0,12.5,12.0,10.5,12.5,11.5
2,10.5,10.0,11.5,14.0,14.5,13.5,12.0,11.0,14.0,12.5,13.0
3,13.0,15.0,12.0,17.0,15.5,12.5,13.5,10.5,15.5,15.5,13.5
4,18.0,17.5,18.5,14.5,13.0,20.5,15.5,15.0,18.5,16.0,12.0
5,17.5,17.5,16.5,18.5,22.0,21.0,22.0,20.0,16.5,23.5,12.0
6,21.0,20.0,21.0,20.5,20.5,19.5,20.0,20.0,20.0,21.5,12.4
7,20.0,19.5,20.0,19.0,20.0,20.5,21.0,20.0,19.5,21.0,12.4
8,21.0,20.0,21.0,19.5,19.5,21.0,20.0,21.0,20.5,21.5,12.4
9,21.0,20.5,19.0,21.0,20.0,21.0,20.5,20.5,21.0,21.0,12.4
10,19.0,18.5,16.5,20.0,17.5,18.0,17.5,18.0,17.5,19.0,12.4
11,16.5,16.0,14.5,12.0,16.0,8.0,16.0,16.5,15.5,13.5,12.4
12,16.0,11.5,11.0,11.0,12.5,12.0,17.5,13.5,12.5,14.5,12.4
