MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,15.5,15.7,16.9,14.9,16.6,17.6,17.0,16.5,17.6,17.8,16.4
2,15.1,15.6,17.8,18.2,18.6,17.6,17.1,16.0,17.4,15.8,17.8
3,17.6,19.5,18.7,19.5,18.7,19.8,18.6,17.6,20.5,20.3,18.6
4,22.6,22.0,21.4,20.3,19.5,23.3,20.9,20.9,21.5,21.7,19.4
5,22.2,23.6,23.0,22.0,23.9,23.2,23.5,22.7,22.6,25.5,22.8
6,22.5,22.9,22.7,22.6,23.3,22.6,22.4,21.7,24.3,23.8,19.0
7,22.4,22.1,21.8,22.1,22.2,22.8,22.3,22.0,22.1,22.5,19.0
8,22.7,22.5,22.7,21.4,22.5,22.4,22.1,22.2,22.9,22.7,19.0
9,22.4,21.8,22.1,22.2,21.6,22.4,22.4,21.8,22.4,22.8,19.0
10,21.2,20.9,20.7,21.3,21.5,21.0,21.7,20.6,21.5,20.6,19.0
11,20.8,19.3,18.7,18.7,18.4,18.8,18.2,19.9,19.1,19.6,19.0
12,18.9,18.9,17.1,17.1,16.9,15.9,19.3,17.6,17.1,17.5,19.0
