MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,14.0,10.4,5.5,17.5,27.0,16.5,21.0,21.0,8.0,42.0,11.5
2,8.1,5.2,7.5,19.5,2.5,15.5,2.0,5.5,6.5,7.5,9.0
3,3.4,20.3,4.0,3.5,0.5,3.0,9.5,2.0,3.0,3.0,8.5
4,11.5,6.3,28.0,24.5,0.0,31.5,2.0,19.0,87.5,1.5,3.0
5,17.4,5.0,24.5,2.0,40.0,85.5,20.0,34.5,5.5,2.0,41.5
6,66.6,46.5,57.5,66.5,92.0,68.5,273.5,77.0,71.0,66.5,14.7
7,28.5,61.5,41.0,59.0,37.0,27.5,16.0,24.0,50.5,40.0,14.7
8,27.8,133.0,33.0,64.0,19.5,32.0,33.5,31.5,51.0,19.0,14.7
9,58.9,22.0,78.0,24.0,41.0,69.0,91.0,65.0,8.0,48.5,14.7
10,154.2,128.5,124.0,118.5,108.0,37.0,112.5,85.0,47.5,171.0,14.7
11,59.2,36.4,61.5,132.5,178.5,132.5,15.0,48.0,31.0,9.0,14.7
12,7.6,47.4,37.5,61.5,13.0,6.5,6.0,18.5,33.0,22.5,14.7
