MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,20.2,21.6,23.5,19.7,22.3,23.4,22.3,21.8,24.9,23.5,22.2
2,21.0,21.6,25.6,24.5,25.1,23.6,23.4,21.9,24.4,24.0,24.6
3,23.2,25.5,25.9,26.4,24.8,27.4,25.7,25.2,28.0,27.8,27.4
4,28.4,28.8,28.7,27.1,27.9,30.6,28.8,29.2,29.4,30.4,28.6
5,28.6,30.8,30.3,29.0,31.8,29.9,30.0,29.0,30.5,35.3,32.0
6,28.2,29.1,29.0,29.0,29.9,28.2,28.7,27.6,31.6,31.9,26.96
7,28.4,28.0,27.4,28.0,28.7,29.6,28.0,28.4,28.8,29.0,26.96
8,29.0,27.9,28.6,27.1,29.6,28.1,27.4,28.0,29.0,29.0,26.96
9,28.5,27.6,27.0,27.6,28.1,27.4,27.6,26.6,29.5,29.3,26.96
10,26.9,25.6,25.5,26.0,26.5,26.5,27.0,26.2,27.4,25.8,26.96
11,25.0,24.6,24.2,24.4,24.0,24.3,24.0,25.2,23.9,26.9,26.96
12,24.2,24.1,22.2,23.0,23.8,21.9,24.8,23.6,22.7,24.4,26.96
