MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,31.0,34.0,37.0,34.0,31.0,37.0,38.0,37.0,37.5,37.0,36.5
2,31.5,33.0,39.0,36.0,37.0,37.5,36.0,38.0,38.5,37.5,38.5
3,35.0,37.0,40.0,38.5,40.5,41.5,40.0,41.0,41.0,40.5,40.5
4,42.0,42.0,41.5,40.0,43.0,44.5,42.0,42.0,42.0,43.5,42.0
5,38.0,42.0,41.5,38.0,44.0,41.5,42.0,42.0,42.5,46.0,44.0
6,37.0,40.0,40.0,39.0,40.0,39.0,38.0,38.0,43.0,46.0,40.3
7,35.0,35.0,34.5,35.5,37.0,39.0,36.0,36.0,37.0,37.0,40.3
8,37.0,35.0,36.0,34.5,38.5,38.0,35.0,35.0,38.5,36.5,40.3
9,36.5,35.0,34.0,36.5,37.0,38.0,36.0,34.5,38.0,38.0,40.3
10,35.0,35.5,35.0,36.5,37.5,39.0,36.0,34.0,38.0,34.0,40.3
11,34.0,36.0,31.0,36.0,34.0,34.0,33.0,35.0,35.0,36.5,40.3
12,35.0,35.0,32.0,39.0,38.0,33.0,38.0,35.0,35.5,33.0,40.3
