MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,24.5,26.9,28.8,22.7,26.4,27.7,25.8,26.2,30.4,27.9,26.7
2,25.9,27.1,31.7,29.4,30.5,27.8,28.4,26.9,30.1,30.4,30.1
3,28.0,31.7,31.2,31.3,29.6,33.6,31.2,31.3,34.5,33.7,34.6
4,34.3,35.1,34.6,32.3,35.2,37.1,34.9,36.2,35.7,37.6,36.4
5,35.0,36.8,36.3,34.2,39.0,35.2,35.6,33.6,36.9,43.6,39.7
6,33.2,34.5,33.6,34.0,35.2,32.2,33.2,31.9,37.4,38.1,33.5
7,33.5,32.1,31.0,32.4,33.7,35.0,32.0,32.9,33.7,33.8,33.5
8,34.5,31.9,33.1,31.6,35.4,32.2,31.4,32.7,33.7,33.7,33.5
9,33.6,32.0,30.2,32.0,32.8,30.9,31.6,29.8,35.0,34.0,33.5
10,31.4,28.9,28.3,29.4,30.2,30.4,30.9,29.8,31.7,29.3,33.5
11,28.0,28.2,27.9,28.1,27.3,27.6,28.2,28.9,27.4,32.0,33.5
12,29.0,27.7,25.7,27.5,28.8,26.1,29.8,27.8,26.9,29.5,33.5
