MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.0,16.4,18.2,16.7,18.2,19.1,18.8,17.4,19.3,19.1,17.8
2,16.2,16.2,19.5,19.6,19.8,19.3,18.5,16.9,18.6,17.5,19.2
3,18.4,19.4,20.6,21.5,20.0,21.1,20.2,19.1,21.4,21.8,20.2
4,22.5,22.4,22.8,21.9,20.6,24.2,22.6,22.2,23.0,23.1,20.8
5,22.2,24.8,24.3,23.7,24.6,24.6,24.5,24.3,24.2,27.0,24.2
6,23.2,23.8,24.3,24.1,24.6,24.3,24.2,23.3,25.8,25.7,20.44
7,23.4,23.8,23.7,23.6,23.6,24.1,23.9,24.0,23.9,24.3,20.44
8,23.4,23.8,24.0,22.7,23.9,24.0,23.5,23.3,24.4,24.2,20.44
9,23.4,23.1,23.7,23.3,23.4,24.0,23.7,23.4,24.0,24.6,20.44
10,22.3,22.4,22.7,22.7,22.9,22.7,23.2,22.6,23.2,22.2,20.44
11,22.0,21.0,20.5,20.6,20.7,21.0,19.9,21.6,20.3,21.7,20.44
12,19.4,20.5,18.8,18.5,18.8,17.6,19.7,19.4,18.5,19.4,20.44
