MES,2018,2019,2020,2021,2022,2023,2024,2025
1,44.269999999999996,4.8,61.5,20.5,10.5,41.75,14.0,8.5
2,44.269999999999996,18.0,20.5,3.5,9.5,41.75,14.0,16.5
3,0.0,6.5,9.2,32.0,2.8,41.75,6.5,0.0
4,84.7,0.0,35.4,17.2,0.0,41.75,18.5,0.0
5,61.5,22.5,76.6,34.5,5.7,40.0,4.0,88.0
6,26.3,73.5,78.0,56.2,5.7,1.0,85.0,69.5
7,23.3,45.5,14.4,43.1,5.7,20.5,117.0,30.416666666666668
8,73.5,25.5,54.5,133.0,5.7,26.0,74.5,30.416666666666668
9,64.1,61.5,143.6,41.0,5.7,4.0,41.0,30.416666666666668
10,88.0,87.4,38.7,34.4,5.7,75.5,93.5,30.416666666666668
11,6.0,32.5,24.3,61.5,5.7,143.5,32.0,30.416666666666668
12,15.3,6.9,4.0,0.0,5.7,23.5,66.5,30.416666666666668
