MES,2018,2019,2020,2021,2022,2023,2024,2025
1,106.78100000000002,11.8,101.31,70.0,32.5,93.3625,27.7,16.5
2,106.78100000000002,27.8,31.5,4.9,20.8,93.3625,19.0,37.5
3,0.0,29.22,20.22,36.5,2.8,93.3625,9.7,0.0
4,175.81,0.0,92.0,42.5,0.0,93.3625,23.0,0.0
5,61.5,23.1,247.4,57.0,14.024999999999999,109.5,4.0,214.5
6,141.9,261.81,146.2,177.6,14.024999999999999,1.0,359.5,489.8
7,33.8,114.1,65.0,180.0,14.024999999999999,92.2,457.5,126.38333333333333
8,241.9,38.1,170.9,305.0,14.024999999999999,70.5,188.8,126.38333333333333
9,139.7,179.0,196.41,114.1,14.024999999999999,4.0,107.1,126.38333333333333
10,238.2,246.9,75.7,88.4,14.024999999999999,225.7,155.0,126.38333333333333
11,19.7,85.9,87.1,115.5,14.024999999999999,206.5,60.5,126.38333333333333
12,15.3,6.91,4.02,0.0,14.024999999999999,37.5,103.9,126.38333333333333
