MES,2015,2016,2017,2018,2019,2020,2022,2023,2024,2025
1,24.0,26.5,28.5,23.4,26.1,27.9,27.5,30.4,29.1,28.0
2,27.2,27.0,31.0,30.8,30.9,28.0,27.2,29.4,31.2,30.5
3,28.8,32.6,31.4,32.3,31.7,33.0,31.0,34.1,34.1,33.6
4,34.4,34.3,34.3,33.6,34.9,37.3,36.6,35.7,36.6,35.5
5,35.1,37.8,36.5,37.5,40.4,36.1,37.3,36.9,40.3,37.9
6,33.0,34.5,33.6,34.6,35.3,32.8,31.8,37.5,36.8,34.0
7,33.5,32.6,32.0,33.3,34.6,35.4,31.7,33.1,32.6,33.25
8,33.5,32.7,33.0,31.5,34.9,32.6,32.2,33.1,32.3,33.25
9,32.8,32.2,31.8,31.3,33.4,32.3,30.6,33.2,33.0,33.25
10,30.7,30.0,29.3,30.2,31.2,31.2,30.4,31.4,29.8,33.25
11,28.6,27.9,29.6,28.2,28.2,27.9,30.0,27.8,32.0,33.25
12,28.5,27.9,26.2,27.3,27.4,27.4,27.6,28.1,30.2,33.25
