MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.3,24.0,13.8,10.9,15.0,16.8,113.0,29.0,5.0,74.2,20.7
2,26.6,24.8,1.3,20.0,4.5,9.3,46.2,9.5,5.2,6.0,10.4
3,87.5,36.1,63.5,20.4,12.3,8.5,20.0,26.5,51.5,48.0,46.5
4,64.0,38.0,9.5,32.3,26.4,19.0,28.8,9.5,33.0,19.3,16.3
5,58.0,40.2,33.8,3.6,32.3,39.0,60.0,3.3,13.6,0.01,66.8
6,171.8,61.2,60.0,67.2,58.8,175.0,82.0,109.5,27.8,210.2,103.0
7,27.0,24.2,28.2,19.5,27.5,67.2,55.3,29.0,53.8,56.7,43.95000000000001
8,47.9,72.0,158.7,50.0,34.4,46.0,100.1,31.4,42.1,21.8,43.95000000000001
9,85.8,23.1,139.7,63.2,25.2,67.5,77.5,39.5,54.0,73.5,43.95000000000001
10,16.2,38.0,25.3,29.0,26.2,3.8,21.5,48.8,34.6,67.8,43.95000000000001
11,91.6,53.2,12.7,14.9,12.0,13.2,38.7,7.4,14.7,8.2,43.95000000000001
12,3.8,14.8,22.4,10.4,6.3,31.5,17.2,8.5,18.0,29.7,43.95000000000001
