MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,81.35,100.76,20.53,40.11,54.85,93.06,202.15,70.78,20.52,132.28,67.01
2,63.98,53.15,1.33,59.62,11.13,26.88,74.35,54.13,9.43,24.62,43.9
3,175.51,108.43,117.45,68.66,66.74,9.03,55.05,60.46,154.63,92.14,49.04
4,157.82,176.75,21.14,117.96,68.24,61.15,106.62,24.22,89.93,32.53,36.41
5,147.35,192.41,111.93,5.87,35.63,104.96,167.83,5.64,55.46,0.01,190.62
6,441.67,169.85,319.76,373.0,272.93,352.75,389.3,289.22,67.62,470.12,77.396
7,145.61,116.81,144.96,36.32,85.21,250.35,196.52,97.13,271.22,192.44,77.396
8,183.84,329.94,393.94,204.34,189.12,311.65,281.22,140.77,248.94,116.75,77.396
9,361.12,140.17,424.13,216.08,167.15,276.16,294.77,257.06,201.82,274.08,77.396
10,72.09,153.94,116.03,210.05,118.19,11.55,92.05,135.78,98.99,155.78,77.396
11,234.57,83.81,25.82,48.09,54.37,26.83,75.38,22.3,52.89,21.82,77.396
12,13.24,51.64,55.72,29.44,16.85,61.96,18.58,21.36,80.06,80.47,77.396
