MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,8.4,7.0,26.5,42.0,14.0,11.0,6.0,7.0,7.0,55.0,23.0
2,12.3,3.0,2.0,17.5,1.5,12.5,14.0,14.0,15.0,17.0,47.0
3,9.0,6.5,6.0,9.0,0.0,7.0,15.0,0.0,11.0,0.0,10.0
4,9.6,1.5,0.0,6.0,0.0,0.0,5.0,9.0,20.0,17.0,4.0
5,65.0,38.0,29.0,57.0,32.0,38.0,35.0,62.0,10.0,0.0,76.0
6,40.5,47.0,44.0,52.0,30.5,30.0,206.0,67.0,99.0,90.0,45.0
7,109.5,72.5,45.0,43.0,40.0,29.0,48.0,65.0,50.0,65.0,34.166666666666664
8,38.0,97.5,20.0,64.0,27.0,82.0,95.0,65.0,23.0,51.0,34.166666666666664
9,38.0,77.3,190.0,39.0,19.0,43.0,56.0,52.0,20.0,50.0,34.166666666666664
10,114.0,42.0,52.0,61.0,60.0,44.0,58.0,40.0,62.0,105.0,34.166666666666664
11,37.0,34.0,21.0,54.0,70.0,80.0,14.0,20.0,30.0,17.0,34.166666666666664
12,12.5,9.5,16.0,54.0,3.0,10.0,0.0,20.0,35.0,23.0,34.166666666666664
